ANALYSIS_TYPE,DATASET,GAP_BUCKET,PREV_RANGE_BUCKET,OPEN_LOCATION,N225_DIMENSION,N225_VALUE,SAMPLE_COUNT,AVG_MAX_UP_PCT,AVG_MAX_DOWN_PCT,AVG_CLOSE_PCT
N225_CONTEXT,JPX_PLUS_N225,,,,NIGHT_RETURN,0~0.5%,204031,1.2516248467262179,-1.1752931932907147,-0.019251273360162642
N225_CONTEXT,JPX_PLUS_N225,,,,RANGE_10M,0.5~1%,131570,1.2843546204339942,-1.2760903038326803,-0.059803533800935865
N225_CONTEXT,JPX_PLUS_N225,,,,DIRECTION,DOWN_MIXED,171632,1.325414395146185,-1.2526863719288988,0.014765616997108783
N225_CONTEXT,JPX_PLUS_N225,,,,NIGHT_RETURN,-2~-1%,51209,1.3277799331250526,-1.236725243192735,0.10499759200743565
N225_CONTEXT,JPX_PLUS_N225,,,,RETURN_10M,-0.5~-0.2%,153172,1.156483374689677,-1.2919046372973881,-0.13422248880495574
N225_CONTEXT,JPX_PLUS_N225,,,,DIRECTION,FLAT_MIXED,36432,1.2693577016708675,-1.0089157937236117,0.1300027840863581
N225_CONTEXT,JPX_PLUS_N225,,,,NIGHT_RETURN,1~2%,51143,1.228804865880673,-1.2089259978359417,-0.14738998302402356
N225_CONTEXT,JPX_PLUS_N225,,,,RETURN_5M,-0.5~-0.2%,65698,1.3777805490419248,-1.2657407636034081,0.15981123486515844
N225_CONTEXT,JPX_PLUS_N225,,,,DIRECTION,UP,142312,1.4321325867174715,-1.0168712139811646,0.21269888100162307
N225_CONTEXT,JPX_PLUS_N225,,,,PERSISTENCE,UP_PERSISTENT,142312,1.4321325867174715,-1.0168712139811646,0.21269888100162307
N225_CONTEXT,JPX_PLUS_N225,,,,RETURN_5M,0.2~0.5%,84083,1.3678407433571247,-1.121927382716968,0.08804268895640091
N225_CONTEXT,JPX_PLUS_N225,,,,RANGE_10M,0.1~0.2%,7312,1.3184434929804851,-0.989830267419652,0.1546741056665825
N225_CONTEXT,JPX_PLUS_N225,,,,NIGHT_RETURN,-0.5~0%,153370,1.2609352567772207,-1.0875977649148922,0.06568024466869656
N225_CONTEXT,JPX_PLUS_N225,,,,RETURN_10M,0.5~1%,22070,1.373431456555047,-1.6020444809220133,-0.2791204830697625
N225_CONTEXT,JPX_PLUS_N225,,,,RETURN_10M,>=1%,3702,2.184973526971058,-1.311081693458086,0.646208889426972
N225_CONTEXT,JPX_PLUS_N225,,,,RANGE_10M,1~2%,18312,2.5618200237997812,-1.4812973401423273,1.0653501971556387
N225_CONTEXT,JPX_PLUS_N225,,,,NIGHT_RETURN,<-2%,18513,2.3663663770504217,-2.569233815595259,-0.015088815326230538
N225_CONTEXT,JPX_PLUS_N225,,,,RANGE_10M,>=2%,3757,3.957329908379799,-2.6631198490309074,-0.07017452295761636
N225_CONTEXT,JPX_PLUS_N225,,,,RETURN_5M,>=0.5%,7364,2.644741743632508,-0.9667974887069907,1.2648190437656903
N225_CONTEXT,JPX_PLUS_N225,,,,NIGHT_RETURN,>=2%,7400,2.6290793420542995,-1.8649789368662142,0.7365293886767293
N225_CONTEXT,JPX_PLUS_N225,,,,RETURN_5M,<-0.5%,3671,1.3678732219388834,-2.834178734977101,-0.7971951679379559
N225_CONTEXT,JPX_PLUS_N225,,,,RETURN_10M,-1~-0.5%,14627,1.7297561950092208,-1.696580609202471,0.3118319602333186
N225_CONTEXT,JPX_PLUS_N225,,,,PERSISTENCE,FLAT_PERSISTENT,3637,1.3345173237959256,-1.251816409949262,-0.35959385019918305
